Decay (d)	T_eff	L/C amp (mag)
47.693322	5966	0.013214
76.967840	4862	0.012011
111.435910	4891	0.011770
247.851469	4731	0.013782
109.910001	5927	0.011834
66.022936	4816	0.004825
121.064844	5672	0.013196
231.162454	4774	0.016191
80.280328	5157	0.002257
250.473713	5429	0.001128
42.154724	5815	0.002852
86.634858	5421	0.011157
69.264123	4635	0.009432
25.341902	5935	0.003982
49.065673	5016	0.008512
232.597344	5185	0.011869
22.529400	5745	0.004198
108.949992	5636	0.005192
67.910134	5059	0.002943
57.129373	5651	0.001911
249.697627	5114	0.016607
162.906656	3617	0.014459
173.052331	5135	0.008498
46.287587	4628	0.005652
42.559444	5110	0.009809
84.332561	5396	0.005667
28.555151	6275	0.001335
96.328216	5438	0.014781
12.470072	6084	0.002175
134.765501	4979	0.010774
47.192479	5954	0.006205
26.622758	5357	0.003695
87.723059	4248	0.012328
58.639660	5601	0.008195
91.722151	4917	0.010903
58.542100	4707	0.007843
36.582482	5955	0.001967
47.275704	5388	0.004645
196.599738	4964	0.017121
56.263966	5881	0.008351
39.764588	4288	0.026140
14.526398	5757	0.002574
165.565585	5068	0.010020
42.676956	5862	0.003587
109.052833	5785	0.013115
25.883243	5731	0.003296
12.085078	5851	0.002037
24.001590	5818	0.002155
47.358439	5874	0.008690
38.687294	5903	0.001486
42.410668	4498	0.006868
71.155624	5691	0.006910
109.978592	5515	0.009549
126.725144	5788	0.002763
96.572408	5633	0.009927
50.708551	5636	0.005872
23.716936	5446	0.008716
26.187618	6046	0.003009
108.183686	5519	0.013008
208.141010	4854	0.016162
83.917366	4946	0.009192
84.620341	5917	0.001092
65.526177	5727	0.010273
19.999361	5342	0.003681
72.327949	4559	0.014557
106.712279	5243	0.016494
69.688741	4450	0.007491
66.087873	5557	0.002222
23.366485	5730	0.003422
75.777225	5515	0.013627
66.080514	4107	0.057176
71.955482	5723	0.003958
18.505880	5769	0.007372
144.951687	5204	0.015107
99.923866	4617	0.007774
291.189711	6413	0.001130
48.892891	5387	0.001210
242.716080	4754	0.014239
23.710617	5688	0.004074
10.701615	5791	0.001313
15.645737	6063	0.002552
71.539281	4869	0.010707
99.040155	5467	0.008999
24.300998	6068	0.003617
51.147262	5376	0.012527
53.271322	5508	0.010503
49.754443	5207	0.010563
65.905695	5418	0.011557
24.480131	5699	0.000411
164.035727	4995	0.013020
141.755538	4846	0.006175
43.352371	5116	0.006660
19.172158	5933	0.003098
99.712344	5273	0.010674
41.444290	5740	0.011146
84.793847	5444	0.011213
56.437541	5754	0.000763
151.139855	4786	0.012573
48.805152	5224	0.009949
140.832165	5503	0.021439
91.884214	5258	0.011095
111.996717	5011	0.011904
145.717462	5171	0.013662
27.412557	6027	0.002736
171.277847	4799	0.011574
24.426881	6401	0.004865
166.313347	6350	0.000745
10.271360	6086	0.001369
68.593211	5362	0.016898
18.510852	5725	0.002700
57.720988	4721	0.009501
67.708255	5000	0.010255
63.086675	4881	0.009924
65.293036	5122	0.002826
41.418637	5062	0.005523
52.975686	5281	0.014370
158.563642	4822	0.011330
46.933557	5189	0.009444
100.487720	5260	0.013168
64.677963	5595	0.006658
33.158815	5825	0.008272
168.967003	4804	0.008824
34.758611	5712	0.001392
43.149611	5324	0.005749
28.618916	5961	0.003785
158.128959	5209	0.013562
16.944415	5785	0.012007
61.711477	5517	0.004439
46.824022	5285	0.004918
84.877735	5130	0.007682
169.919906	5670	0.018637
17.090081	6065	0.002524
52.400871	6028	0.000946
288.427599	4309	0.019357
64.409417	5430	0.013409
140.377192	5628	0.015634
81.377744	4714	0.011498
158.314839	5630	0.018074
66.430636	5300	0.009192
74.143266	4291	0.003606
207.684171	5742	0.001233
78.219241	5628	0.010366
51.723386	4388	0.006864
60.015933	5285	0.007038
32.691462	5986	0.005139
56.293968	5670	0.011210
84.630728	5593	0.014485
74.996095	5778	0.015612
33.755485	5629	0.000558
114.586772	5470	0.014747
136.860804	4251	0.005611
20.201475	6017	0.002583
67.058486	5542	0.010502
88.902093	5644	0.009520
88.173783	4257	0.012477
30.882214	5806	0.003283
52.421064	5501	0.009749
25.255362	5840	0.001688
160.932641	4071	0.027004
139.297988	5045	0.011400
36.469205	5270	0.009601
28.815068	5504	0.005118
83.080643	4203	0.011425
34.362483	5967	0.004426
68.285251	5276	0.010815
11.371573	6064	0.000411
160.571074	5579	0.016134
17.597050	5860	0.002254
27.679843	5869	0.004898
58.793561	4078	0.018324
75.164754	5856	0.004724
92.670209	5361	0.009749
102.293731	5378	0.012791
18.732700	5873	0.004004
193.282758	4821	0.016200
74.704196	5484	0.011018
120.068893	5660	0.010820
72.496124	4585	0.006699
70.000088	5659	0.009962
106.189100	5612	0.013004
106.194120	4404	0.010249
184.841194	5733	0.004651
62.168951	5922	0.010456
112.929975	5875	0.001443
314.412159	5328	0.017574
31.181222	5575	0.005928
39.435646	4989	0.004369
16.789354	5825	0.001558
285.950426	4979	0.007316
86.954457	5597	0.014020
58.933022	5084	0.011206
24.844498	5591	0.003557
44.342496	6021	0.005787
11.050992	6040	0.000566
89.996282	5262	0.004295
56.200883	5344	0.006375
55.833080	5434	0.004630
91.246262	4962	0.016532
127.870681	5708	0.015206
15.685121	6160	0.001643
96.169276	4891	0.014795
446.249550	5747	0.002410
394.030842	4809	0.014786
116.027617	4869	0.013653
604.959794	5182	0.010715
76.265512	4772	0.008522
22.373602	5960	0.003937
25.112905	5857	0.002124
34.710940	5821	0.004921
21.776650	5793	0.002719
21.478305	5144	0.008785
175.111679	5242	0.005835
18.823199	5656	0.003032
125.102252	6098	0.001160
104.100875	4615	0.008007
110.627352	5009	0.010423
140.129137	5505	0.012441
211.543283	4316	0.022128
33.540637	5863	0.001076
120.739847	5232	0.010444
24.143999	5875	0.004329
67.892682	5161	0.010037
10.847112	5801	0.001785
79.830243	5294	0.010834
33.604891	4841	0.004091
12.224340	6146	0.000686
11.859404	6204	0.001310
26.722680	5041	0.006237
75.635709	5432	0.008410
42.364320	5137	0.005789
10.516938	6107	0.000777
86.704435	4427	0.015167
91.256158	5554	0.016569
43.582120	5759	0.005980
39.171833	5617	0.007816
93.715111	5353	0.011859
30.222533	5857	0.004631
62.781481	5279	0.005867
213.946717	5232	0.028865
69.843306	5366	0.009466
118.821094	5550	0.005156
82.202903	5369	0.013967
76.805079	5331	0.010571
7.911955	5690	0.001628
13.580310	5574	0.001990
49.838602	6221	0.000929
361.790189	4431	0.016168
95.145237	4954	0.012926
58.825071	5974	0.010263
109.423160	5648	0.019049
30.995232	5957	0.004739
22.829637	6205	0.002129
81.631031	4957	0.007064
100.880797	4648	0.005382
88.851203	4332	0.019396
228.678432	4863	0.020352
136.051545	4824	0.012874
67.310148	5254	0.007031
141.603612	4961	0.015193
20.059462	5961	0.002041
152.844061	5828	0.016770
23.440959	5825	0.005747
187.922656	4449	0.013165
67.378950	5825	0.002308
68.499584	5476	0.013047
32.413023	5455	0.006447
77.284311	4889	0.010522
68.896954	6018	0.001038
32.148862	5946	0.003707
16.681316	5086	0.005810
85.314167	5576	0.012670
65.593367	5434	0.011139
97.812140	5354	0.010388
31.062146	5632	0.002681
37.851557	5607	0.004208
92.013752	5038	0.007828
46.287767	4945	0.006412
58.792951	5429	0.008565
45.910792	5596	0.012504
354.576243	5363	0.016827
166.110551	5902	0.018014
98.063888	5157	0.011494
29.111296	6100	0.002658
101.076871	5799	0.011816
61.604940	5991	0.009167
23.050622	6124	0.002572
39.753208	5671	0.005080
56.104925	5300	0.018986
108.357128	4764	0.010779
153.183394	3850	0.034602
262.161100	5006	0.024612
80.189077	5146	0.010897
15.318121	6117	0.001973
23.366989	5944	0.003361
78.597721	6105	0.003374
72.015014	5784	0.002152
45.390128	5803	0.005562
79.583388	5544	0.009155
54.934793	5677	0.002952
458.086395	4658	0.014690
69.543191	4530	0.004494
9.278710	6031	0.000590
44.841802	5900	0.000799
66.781598	5682	0.011927
53.684184	5985	0.000461
33.767724	5603	0.003686
46.654426	5991	0.002178
19.293891	5951	0.000488
13.651554	6168	0.002107
23.388917	5798	0.003213
52.683206	4984	0.002982
115.486103	5344	0.009959
82.632694	5468	0.012420
11.727602	5995	0.001536
69.000940	5633	0.010550
73.623374	5368	0.010189
