Decay (d)	T_eff	L/C amp (mag)
26.979896	5715	0.003643
33.969127	6399	0.001185
48.873453	4956	0.007129
73.446093	4911	0.006696
14.800628	5583	0.001712
88.532442	4181	0.005383
145.005845	5113	0.012261
16.113043	5513	0.002284
159.518252	5037	0.010766
60.185362	5483	0.008352
161.477519	5472	0.007678
13.572024	5685	0.001891
145.930714	5496	0.005373
101.409293	4647	0.010371
266.085144	4362	0.013407
23.142950	5753	0.002990
22.817953	5760	0.001037
50.508242	5184	0.006301
222.568175	5231	0.014838
54.482943	5537	0.003098
21.053142	3730	0.003139
23.447146	5527	0.000973
73.064170	4104	0.003677
15.319979	5792	0.001539
19.512523	5566	0.002548
177.510559	5057	0.006481
27.655172	5381	0.002474
33.939475	5529	0.001612
67.719417	5192	0.005906
156.594386	5117	0.011170
89.888406	5091	0.015057
68.491230	5352	0.006664
55.618609	4666	0.003949
58.289520	5305	0.007907
84.826035	4928	0.008720
27.842721	6084	0.000488
92.855496	5132	0.007925
79.005015	5332	0.003780
24.419712	5545	0.002603
47.746186	5122	0.006823
163.542034	4326	0.009331
29.233888	5380	0.003293
72.821867	3688	0.003536
53.258497	5341	0.005975
85.045603	5219	0.011549
55.791862	4141	0.004090
38.029820	5196	0.005576
259.768653	5046	0.016825
32.587875	6259	0.000671
169.088985	5239	0.012603
30.734108	5345	0.003480
36.100776	4944	0.003446
21.753019	5794	0.001970
101.342939	5325	0.008509
89.451793	5479	0.003835
29.958517	5791	0.000540
30.858758	5568	0.003777
46.974449	5493	0.007505
15.727299	5681	0.002620
131.853436	5296	0.002835
176.840309	4294	0.010644
14.241417	5853	0.000369
52.125737	5715	0.001206
14.685085	3684	0.001992
72.006842	5321	0.007849
23.201019	5376	0.001602
32.645146	5431	0.003306
201.695586	4900	0.009783
83.696539	5808	0.000802
157.829721	5225	0.009807
113.381148	4594	0.010107
88.492042	5164	0.008707
188.701751	4969	0.010631
28.773398	5675	0.003719
145.479185	4708	0.008637
30.787812	5584	0.006691
29.224038	5563	0.000640
41.602633	5054	0.005904
93.414173	5036	0.005696
84.452242	4249	0.002771
56.922496	5317	0.007060
65.905733	3662	0.004428
53.867916	5205	0.006844
7.909584	5707	0.000501
76.323164	5390	0.010095
18.977599	5465	0.000693
74.526490	5544	0.006104
114.160883	4353	0.005392
21.908623	4192	0.001710
34.037513	5634	0.002286
92.600138	3677	0.005433
12.619589	5722	0.002127
94.502540	4746	0.010877
94.793081	4990	0.009257
53.238678	4910	0.010631
30.177954	4734	0.001277
18.926835	5570	0.002316
31.498517	5694	0.002595
51.715252	5486	0.003971
44.528175	5227	0.005321
132.335005	5232	0.011282
135.970540	6180	0.001203
75.498385	4913	0.008344
32.858755	5382	0.005541
65.126479	4865	0.003274
493.071022	3555	0.012352
57.002856	5407	0.003753
250.383988	4817	0.019428
58.223148	5399	0.006147
20.721317	5822	0.000742
69.270536	5016	0.006741
27.006882	5828	0.001197
16.839449	5589	0.002193
20.664212	5394	0.002879
41.640250	5161	0.004954
15.636579	5705	0.002386
50.553350	4147	0.003638
57.335958	4738	0.005585
43.247254	3686	0.003185
30.771362	5357	0.002757
51.381192	5361	0.000454
26.809165	5809	0.002854
31.015116	5793	0.002919
23.390275	5797	0.001751
105.805053	5213	0.013913
36.250162	5431	0.004487
182.914440	4398	0.009366
209.106042	4649	0.009130
110.742271	5423	0.008665
128.442916	5454	0.010528
18.403597	5671	0.002335
124.319801	4416	0.012821
47.686793	6300	0.001315
69.311527	5482	0.004975
16.941249	5680	0.001724
58.300118	5457	0.010538
54.087399	4527	0.004080
75.118654	5134	0.011063
166.194298	5064	0.011039
100.736511	4810	0.016424
61.142966	5529	0.006802
64.535701	5465	0.006655
18.348384	5473	0.002510
680.363432	3619	0.013468
13.366483	5598	0.001516
36.295062	5420	0.002640
49.531837	5276	0.003123
105.612687	4890	0.012990
29.810553	5666	0.003068
101.703241	3565	0.004976
17.676967	5689	0.002063
16.551033	5384	0.001594
83.899250	5646	0.002155
38.541644	5317	0.002060
27.180103	5653	0.002404
53.624574	5221	0.002552
43.433751	5629	0.004348
78.591678	4814	0.005967
42.428278	5598	0.000985
27.964435	5741	0.003903
32.394367	5128	0.004995
89.814574	5003	0.010530
64.931932	4259	0.006409
87.809477	5028	0.006538
45.420139	4095	0.001679
56.380215	4476	0.003307
79.719576	5358	0.007799
87.571853	4085	0.005390
49.589940	5488	0.001656
