Decay (d)	T_eff	L/C amp (mag)
63.422992	4198	0.004537
216.681960	4966	0.012248
58.888130	5460	0.003469
12.982662	5739	0.000902
38.969859	5302	0.004576
367.927459	3741	0.011016
43.216944	5578	0.005431
20.960104	5591	0.002141
49.085365	4983	0.004073
41.079102	5448	0.004986
20.520846	5336	0.003105
72.094575	4905	0.005517
68.398146	5315	0.008918
31.837696	5361	0.002231
125.312896	5078	0.012822
26.173982	4572	0.002748
59.225128	5130	0.008242
